ts, z0, z1, z2, z3, z4, z5, z6, z7, z8, z9, z10, z11, z12, z13, z14, z15, z16, z17, z18, z19, z20, z21, z22, z23, z24, z25, z26, z27, z28, z29, z30, z31, z32, z33, z34, z35, z36, z37, z38, z39, z40, z41, z42, z43, z44, z45, z46, z47, z48, z49, z50, z51, z52, z53, z54, z55, z56, z57, z58, z59, z60, z61, z62, z63, z64, z65, z66, z67, z68, z69, z70, z71, z72, z73, z74, z75, z76, z77, z78, z79, z80, z81, z82, z83, z84, z85, z86, z87, z88, z89, z90, z91, z92, z93, z94, z95, z96, z97, z98, z99, z100, z101, z102, z103, z104, z105, z106, z107, z108, z109, z110, z111, z112, z113, z114, z115, z116, z117, z118, z119, z120, z121, z122, z123, z124, z125
30, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 13, 13, 11, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 10, 10, 9, 11, 9, 10, 9, 9, 13, 9, 10, 10, 9, 10, 11, 11, 10, 10, 8, 10, 11, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 7, 7, 7, 8, 8, 6, 7, 6, 7, 8, 8, 9, 10, 7, 10, 10, 11, 10, 10, 10, 13, 10, 10, 10, 11, 8, 10, 8, 8, 9, 10, 7, 10, 10, 10, 12, 12, 9, 9, 10, 9, 9, 10, 12, 12
31, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 13, 13, 11, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 10, 10, 10, 11, 10, 10, 10, 10, 14, 10, 10, 12, 10, 10, 11, 11, 11, 10, 8, 10, 11, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 10, 10, 10, 13, 10, 10, 10, 11, 8, 10, 8, 8, 9, 10, 8, 10, 10, 10, 12, 12, 9, 9, 11, 10, 10, 10, 12, 12
32, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 15, 13, 11, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 12, 10, 10, 11, 10, 10, 10, 10, 14, 10, 10, 12, 10, 10, 13, 13, 11, 10, 8, 12, 11, 10, 9, 8, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 10, 10, 10, 13, 10, 10, 10, 11, 10, 10, 10, 10, 9, 10, 8, 10, 10, 10, 12, 12, 9, 9, 11, 10, 10, 10, 12, 12
33, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 15, 13, 11, 12, 11, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 12, 10, 10, 11, 10, 11, 11, 10, 14, 10, 10, 12, 10, 10, 13, 13, 11, 10, 8, 12, 13, 10, 9, 8, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 10, 10, 10, 14, 10, 10, 10, 11, 10, 10, 10, 10, 9, 10, 8, 10, 10, 10, 12, 12, 9, 9, 11, 10, 10, 10, 12, 12
34, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 15, 13, 11, 12, 11, 6, 6, 7, 7, 6, 7, 7, 6, 7, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 12, 12, 10, 11, 10, 11, 11, 10, 14, 10, 10, 12, 10, 10, 13, 13, 11, 10, 8, 12, 13, 11, 9, 8, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 11, 11, 11, 14, 10, 10, 10, 11, 10, 10, 10, 10, 9, 10, 8, 10, 10, 11, 12, 12, 9, 9, 11, 10, 10, 11, 12, 12
35, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 15, 13, 11, 12, 11, 6, 7, 7, 7, 7, 7, 7, 6, 7, 7, 6, 6, 7, 7, 7, 7, 6, 7, 7, 12, 12, 10, 12, 10, 11, 11, 10, 14, 10, 10, 12, 10, 11, 13, 13, 11, 11, 8, 12, 13, 11, 9, 8, 12, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 11, 11, 11, 16, 10, 10, 10, 11, 10, 10, 10, 10, 9, 10, 8, 10, 10, 11, 12, 12, 9, 9, 11, 11, 11, 11, 12, 12
36, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 15, 13, 11, 12, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 14, 10, 10, 12, 10, 11, 13, 13, 11, 11, 8, 12, 13, 11, 10, 8, 12, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 11, 11, 11, 16, 10, 10, 10, 11, 11, 10, 11, 11, 9, 10, 8, 10, 10, 11, 12, 12, 9, 9, 11, 11, 11, 11, 12, 12
37, 11, 8, 8, 11, 8, 8, 10, 11, 11, 8, 8, 11, 8, 8, 8, 8, 8, 8, 15, 14, 11, 12, 11, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 14, 10, 10, 12, 10, 11, 13, 13, 11, 11, 8, 12, 13, 13, 10, 8, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 8, 8, 7, 7, 7, 7, 8, 8, 9, 10, 8, 10, 10, 11, 11, 11, 11, 16, 10, 10, 10, 11, 11, 10, 11, 11, 9, 10, 8, 10, 10, 11, 12, 12, 9, 9, 11, 11, 11, 11, 12, 12
38, 11, 8, 10, 11, 8, 10, 10, 11, 11, 8, 10, 11, 8, 10, 8, 10, 8, 10, 15, 14, 11, 12, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 14, 10, 10, 12, 10, 11, 13, 13, 11, 11, 8, 12, 13, 13, 10, 8, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 8, 10, 7, 7, 7, 7, 8, 10, 9, 10, 8, 10, 10, 11, 11, 11, 11, 16, 10, 10, 10, 11, 11, 10, 11, 11, 9, 10, 8, 10, 10, 11, 12, 12, 11, 11, 11, 11, 11, 11, 12, 12
39, 11, 10, 10, 11, 10, 10, 10, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 15, 14, 13, 14, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 14, 10, 10, 12, 10, 11, 13, 13, 11, 11, 8, 12, 13, 13, 10, 8, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 11, 11, 11, 16, 10, 10, 10, 11, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 11, 11, 11, 11, 11, 11, 12, 12
40, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 15, 14, 13, 14, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 16, 10, 10, 12, 10, 13, 13, 13, 11, 13, 8, 12, 13, 13, 10, 8, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 11, 11, 11, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 11, 11, 11, 11, 11, 11, 12, 12
41, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 16, 14, 13, 14, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 16, 10, 10, 12, 10, 13, 13, 13, 11, 13, 8, 12, 13, 13, 10, 8, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 12, 12, 12, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 13, 13, 11, 11, 11, 11, 12, 12
42, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 16, 14, 13, 14, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 16, 10, 10, 12, 10, 13, 13, 13, 11, 13, 9, 12, 13, 13, 10, 9, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 7, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 12, 12, 12, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 13, 13, 12, 11, 11, 11, 12, 12
43, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 16, 14, 13, 14, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 12, 10, 13, 10, 11, 11, 10, 16, 10, 12, 12, 10, 13, 13, 13, 11, 13, 9, 12, 13, 13, 10, 9, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 7, 8, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 12, 12, 12, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 13, 13, 12, 11, 11, 11, 12, 12
44, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 16, 14, 13, 14, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 7, 7, 7, 8, 12, 12, 10, 14, 10, 11, 11, 10, 16, 10, 12, 12, 10, 13, 13, 13, 11, 13, 9, 12, 13, 13, 10, 9, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 9, 10, 10, 10, 10, 12, 12, 12, 12, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 10, 10, 10, 10, 11, 12, 12, 13, 13, 12, 11, 11, 11, 12, 12
45, 11, 10, 10, 11, 10, 10, 12, 11, 11, 10, 10, 11, 10, 10, 10, 10, 10, 10, 16, 14, 13, 14, 13, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 10, 11, 11, 10, 16, 10, 12, 12, 10, 13, 13, 13, 11, 13, 9, 12, 13, 13, 10, 9, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 9, 11, 10, 11, 11, 12, 12, 12, 12, 16, 10, 10, 10, 12, 11, 10, 11, 11, 9, 11, 10, 11, 11, 11, 12, 12, 13, 13, 12, 13, 13, 11, 12, 12
46, 11, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 18, 14, 13, 14, 13, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 11, 11, 11, 11, 16, 11, 12, 12, 11, 13, 13, 13, 11, 13, 9, 12, 13, 13, 11, 9, 12, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 9, 12, 10, 12, 12, 12, 12, 12, 12, 17, 10, 10, 10, 12, 11, 10, 11, 11, 9, 12, 10, 12, 12, 11, 12, 12, 13, 13, 12, 13, 13, 11, 12, 12
47, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 18, 16, 13, 14, 13, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 11, 11, 12, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 9, 13, 13, 13, 11, 9, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 11, 12, 10, 12, 12, 12, 12, 12, 12, 17, 10, 10, 10, 12, 11, 10, 11, 11, 11, 12, 10, 12, 12, 11, 12, 12, 13, 13, 12, 13, 13, 11, 12, 12
48, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 18, 16, 14, 14, 13, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 11, 12, 13, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 9, 13, 13, 13, 11, 9, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 9, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 13, 12, 10, 12, 12, 12, 12, 12, 12, 17, 10, 10, 10, 12, 11, 12, 11, 11, 13, 12, 10, 12, 12, 11, 12, 12, 13, 13, 12, 13, 13, 11, 12, 12
49, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 20, 16, 16, 14, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 11, 12, 13, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 9, 13, 13, 13, 12, 9, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 10, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 13, 12, 10, 12, 12, 12, 14, 14, 14, 17, 10, 10, 10, 12, 11, 14, 11, 11, 13, 12, 10, 12, 12, 11, 12, 12, 13, 13, 12, 13, 13, 11, 12, 12
50, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 20, 16, 16, 14, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 10, 14, 11, 12, 13, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 9, 13, 13, 13, 12, 9, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 7, 8, 8, 10, 10, 7, 7, 7, 7, 10, 10, 13, 12, 10, 12, 12, 12, 14, 14, 14, 17, 10, 10, 10, 12, 11, 14, 11, 11, 13, 12, 10, 12, 12, 12, 13, 13, 13, 13, 12, 13, 13, 12, 13, 13
51, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 22, 16, 16, 14, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 11, 14, 11, 12, 13, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 9, 13, 13, 13, 12, 9, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 7, 8, 8, 9, 10, 10, 7, 8, 7, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 17, 10, 10, 10, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 13, 13, 12, 13, 13, 12, 13, 13
52, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 22, 16, 16, 14, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 12, 11, 14, 11, 12, 13, 11, 16, 11, 12, 14, 11, 13, 15, 15, 11, 13, 11, 13, 13, 13, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 17, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 13, 13, 12, 13, 13, 12, 13, 13
53, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 22, 16, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 13, 11, 14, 11, 12, 13, 11, 16, 11, 12, 15, 11, 13, 15, 15, 11, 13, 11, 13, 15, 13, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 17, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 14, 14, 12, 13, 13, 12, 13, 13
54, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 22, 16, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 12, 13, 11, 14, 11, 12, 13, 11, 16, 11, 12, 15, 11, 13, 15, 15, 11, 13, 11, 13, 15, 13, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 11, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 19, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 14, 14, 12, 13, 13, 12, 13, 13
55, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 22, 16, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 7, 7, 7, 8, 7, 8, 8, 14, 13, 11, 14, 11, 12, 13, 11, 16, 11, 12, 15, 11, 13, 15, 15, 11, 13, 11, 13, 15, 14, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 19, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 14, 14, 12, 13, 13, 12, 13, 13
56, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 23, 16, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 8, 8, 8, 8, 7, 8, 8, 14, 13, 11, 14, 11, 12, 13, 11, 17, 11, 12, 15, 11, 15, 17, 17, 12, 15, 11, 13, 15, 14, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 19, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 12, 13, 13, 14, 14, 12, 13, 13, 12, 13, 13
57, 13, 10, 10, 13, 10, 10, 12, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 23, 16, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 8, 8, 8, 8, 7, 8, 8, 14, 13, 11, 14, 11, 12, 13, 11, 17, 11, 12, 15, 11, 15, 17, 17, 12, 15, 11, 13, 15, 14, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 11, 12, 12, 12, 14, 14, 14, 19, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 11, 12, 12, 13, 13, 13, 14, 14, 12, 13, 13, 13, 13, 13
58, 13, 10, 10, 13, 10, 10, 13, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 23, 17, 18, 16, 15, 7, 7, 8, 7, 7, 7, 7, 7, 7, 8, 7, 7, 8, 8, 8, 8, 7, 8, 8, 14, 13, 11, 14, 11, 12, 13, 11, 17, 11, 12, 15, 11, 15, 17, 17, 12, 15, 11, 13, 15, 15, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 12, 12, 12, 12, 16, 16, 16, 19, 12, 12, 12, 12, 11, 14, 11, 11, 13, 12, 12, 12, 12, 13, 13, 13, 14, 14, 12, 13, 13, 13, 13, 13
59, 13, 10, 10, 13, 10, 10, 13, 13, 13, 10, 10, 13, 10, 10, 10, 10, 10, 10, 23, 17, 18, 16, 15, 7, 7, 8, 8, 7, 8, 8, 7, 8, 8, 7, 7, 8, 8, 8, 8, 7, 8, 8, 14, 13, 11, 15, 11, 12, 14, 11, 17, 11, 12, 16, 11, 15, 17, 17, 12, 15, 11, 13, 15, 15, 12, 11, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 8, 9, 9, 10, 10, 8, 8, 8, 8, 10, 10, 13, 12, 12, 12, 12, 12, 16, 16, 16, 19, 12, 12, 12, 12, 11, 15, 11, 11, 13, 12, 12, 12, 12, 13, 13, 13, 14, 14, 12, 13, 13, 13, 13, 13
60, 13, 10, 10, 14, 10, 10, 13, 14, 14, 10, 10, 14, 10, 10, 10, 10, 10, 10, 23, 17, 20, 16, 15, 7, 8, 8, 8, 8, 8, 8, 7, 8, 8, 7, 7, 8, 8, 8, 8, 7, 8, 8, 14, 13, 11, 15, 11, 12, 15, 11, 17, 11, 12, 16, 11, 15, 17, 17, 12, 15, 13, 13, 15, 15, 12, 13, 13, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 12, 8, 9, 9, 9, 10, 10, 8, 9, 8, 9, 10, 10, 13, 12, 12, 12, 12, 12, 16, 16, 16, 19, 12, 12, 12, 12, 13, 16, 13, 13, 13, 12, 12, 12, 12, 13, 13, 13, 14, 14, 12, 13, 13, 13, 13, 13
61, 13, 10, 12, 14, 10, 12, 13, 14, 14, 10, 12, 14, 10, 12, 10, 12, 10, 12, 25, 17, 20, 17, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 14, 13, 13, 15, 11, 12, 15, 11, 17, 11, 12, 18, 11, 15, 17, 17, 12, 15, 13, 15, 15, 15, 12, 13, 15, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 13, 9, 9, 9, 9, 10, 12, 9, 9, 9, 9, 10, 12, 13, 12, 12, 12, 12, 14, 16, 16, 16, 19, 14, 14, 14, 12, 13, 16, 13, 13, 13, 12, 12, 12, 12, 13, 13, 13, 14, 14, 14, 13, 13, 13, 13, 13
62, 14, 12, 12, 14, 12, 12, 13, 14, 14, 12, 12, 14, 12, 12, 12, 12, 12, 12, 25, 17, 20, 19, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 14, 13, 13, 15, 11, 12, 15, 11, 19, 11, 12, 18, 11, 15, 17, 17, 12, 15, 13, 15, 15, 15, 12, 13, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 13, 9, 9, 9, 9, 12, 12, 9, 9, 9, 9, 12, 12, 13, 12, 12, 12, 12, 14, 16, 16, 16, 19, 14, 14, 14, 14, 13, 16, 13, 13, 13, 12, 12, 12, 12, 13, 13, 13, 14, 14, 14, 13, 13, 13, 13, 13
63, 14, 12, 12, 16, 12, 12, 13, 16, 16, 12, 12, 16, 12, 12, 12, 12, 12, 12, 25, 17, 20, 19, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 14, 13, 13, 16, 11, 12, 15, 11, 19, 11, 12, 18, 11, 15, 17, 17, 12, 15, 13, 15, 15, 15, 12, 13, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 13, 9, 9, 9, 9, 12, 12, 9, 9, 9, 9, 12, 12, 13, 12, 12, 12, 12, 14, 16, 16, 16, 19, 14, 14, 14, 14, 13, 16, 13, 13, 13, 12, 12, 12, 12, 13, 14, 14, 14, 14, 14, 13, 13, 13, 14, 14
64, 14, 12, 12, 16, 12, 12, 14, 16, 16, 12, 12, 16, 12, 12, 12, 12, 12, 12, 25, 17, 20, 19, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 8, 8, 8, 8, 8, 8, 8, 8, 8, 14, 13, 13, 16, 11, 12, 15, 11, 19, 11, 12, 18, 11, 15, 17, 17, 13, 15, 13, 15, 15, 15, 12, 13, 15, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 13, 9, 9, 9, 9, 12, 12, 9, 9, 9, 9, 12, 12, 13, 14, 12, 14, 14, 14, 16, 16, 16, 19, 14, 14, 14, 14, 13, 16, 13, 13, 13, 14, 12, 14, 14, 13, 14, 14, 14, 14, 14, 13, 13, 13, 14, 14
