ts, z0, z1, z2, z3, z4, z5, z6, z7, z8, z9, z10, z11, z12, z13, z14, z15, z16, z17, z18, z19, z20, z21, z22, z23, z24, z25, z26, z27, z28, z29, z30, z31, z32, z33, z34, z35, z36, z37, z38, z39, z40, z41, z42, z43, z44, z45, z46, z47, z48, z49, z50, z51, z52, z53, z54, z55, z56, z57, z58, z59, z60, z61, z62, z63, z64, z65, z66, z67, z68, z69, z70, z71, z72, z73, z74, z75, z76, z77, z78, z79, z80, z81, z82, z83, z84, z85, z86, z87, z88, z89, z90, z91, z92, z93, z94, z95, z96, z97, z98, z99, z100, z101, z102, z103, z104, z105, z106, z107, z108, z109, z110, z111, z112, z113, z114, z115, z116, z117, z118, z119, z120, z121, z122, z123, z124, z125
20, 8, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 11, 9, 10, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9, 9, 8, 5, 6, 7, 5, 11, 5, 8, 9, 5, 9, 10, 10, 9, 9, 5, 8, 9, 10, 9, 5, 8, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 5, 6, 7, 7, 6, 6, 6, 6, 7, 7, 6, 9, 6, 9, 9, 11, 9, 9, 9, 10, 7, 7, 7, 9, 8, 8, 8, 8, 6, 9, 6, 9, 9, 9, 8, 8, 9, 9, 9, 8, 8, 9, 8, 8
21, 9, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 9, 11, 9, 10, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9, 9, 8, 5, 7, 7, 5, 13, 5, 8, 9, 5, 9, 10, 10, 9, 9, 5, 10, 9, 10, 9, 5, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 7, 6, 9, 6, 9, 9, 11, 9, 9, 9, 12, 7, 7, 7, 9, 8, 8, 8, 8, 6, 9, 6, 9, 9, 9, 9, 9, 9, 9, 9, 8, 8, 9, 9, 9
22, 9, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 10, 13, 9, 10, 9, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9, 9, 8, 5, 7, 8, 5, 13, 5, 8, 9, 5, 9, 10, 10, 9, 9, 5, 10, 10, 10, 9, 5, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 7, 6, 9, 6, 9, 9, 11, 9, 9, 9, 12, 8, 8, 8, 9, 8, 8, 8, 8, 6, 9, 6, 9, 9, 9, 9, 9, 9, 9, 9, 8, 8, 9, 9, 9
23, 9, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 10, 13, 9, 12, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 9, 9, 9, 5, 7, 8, 5, 13, 5, 8, 9, 5, 9, 10, 10, 9, 9, 5, 10, 10, 10, 9, 5, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 7, 7, 6, 6, 6, 6, 7, 7, 6, 9, 6, 9, 9, 11, 9, 9, 9, 12, 8, 8, 8, 9, 8, 8, 8, 8, 6, 9, 6, 9, 9, 10, 9, 9, 9, 9, 9, 8, 8, 10, 9, 9
24, 9, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 10, 13, 10, 12, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 6, 6, 6, 7, 9, 9, 9, 9, 5, 7, 8, 5, 13, 5, 8, 10, 5, 9, 10, 10, 9, 9, 7, 10, 10, 10, 9, 7, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 6, 7, 7, 7, 6, 6, 6, 6, 7, 7, 6, 9, 6, 9, 9, 11, 10, 10, 10, 12, 8, 8, 8, 9, 8, 8, 8, 8, 6, 9, 6, 9, 9, 10, 9, 9, 9, 9, 9, 8, 8, 10, 9, 9
25, 10, 7, 7, 9, 7, 7, 9, 9, 9, 7, 7, 9, 7, 7, 7, 7, 7, 7, 10, 13, 10, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 9, 9, 9, 10, 7, 8, 8, 7, 13, 7, 10, 10, 7, 9, 10, 10, 9, 9, 7, 10, 10, 10, 9, 7, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 7, 7, 7, 7, 6, 6, 6, 6, 7, 7, 7, 9, 6, 9, 9, 11, 10, 10, 10, 12, 9, 9, 9, 9, 8, 8, 8, 8, 7, 9, 6, 9, 9, 10, 11, 11, 9, 9, 9, 8, 8, 10, 11, 11
26, 10, 7, 8, 9, 7, 8, 9, 9, 9, 7, 8, 9, 7, 8, 7, 8, 7, 8, 10, 13, 10, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 9, 9, 9, 10, 7, 8, 8, 7, 13, 7, 10, 10, 7, 9, 11, 11, 9, 9, 8, 10, 10, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 7, 7, 7, 8, 6, 6, 6, 6, 7, 8, 7, 9, 6, 9, 9, 11, 10, 10, 10, 12, 9, 9, 9, 9, 8, 8, 8, 8, 7, 9, 6, 9, 9, 10, 11, 11, 9, 9, 9, 8, 8, 10, 11, 11
27, 10, 8, 8, 9, 8, 8, 9, 9, 9, 8, 8, 9, 8, 8, 8, 8, 8, 8, 10, 13, 10, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 9, 9, 9, 10, 8, 8, 9, 8, 13, 9, 10, 10, 9, 9, 11, 11, 9, 9, 8, 10, 10, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 7, 7, 8, 8, 6, 6, 6, 6, 8, 8, 7, 9, 6, 9, 9, 11, 10, 10, 10, 12, 9, 9, 9, 9, 8, 10, 8, 8, 7, 9, 6, 9, 9, 10, 11, 11, 9, 9, 10, 8, 8, 10, 11, 11
28, 10, 8, 8, 10, 8, 8, 9, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 10, 13, 10, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 9, 10, 9, 10, 8, 8, 9, 8, 13, 9, 10, 10, 9, 10, 11, 11, 9, 10, 8, 10, 10, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 7, 7, 8, 8, 6, 6, 6, 6, 8, 8, 7, 9, 7, 9, 9, 11, 10, 10, 10, 13, 9, 9, 9, 9, 8, 10, 8, 8, 7, 9, 7, 9, 9, 10, 12, 12, 9, 9, 10, 8, 8, 10, 12, 12
29, 10, 8, 8, 10, 8, 8, 10, 10, 10, 8, 8, 10, 8, 8, 8, 8, 8, 8, 10, 13, 10, 12, 10, 6, 6, 7, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 7, 6, 7, 7, 9, 10, 9, 11, 9, 8, 9, 9, 13, 9, 10, 10, 9, 10, 11, 11, 9, 10, 8, 10, 11, 10, 9, 8, 10, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 9, 6, 6, 7, 7, 8, 8, 6, 6, 6, 6, 8, 8, 7, 9, 7, 9, 9, 11, 10, 10, 10, 13, 10, 10, 10, 9, 8, 10, 8, 8, 7, 9, 7, 9, 9, 10, 12, 12, 9, 9, 10, 8, 8, 10, 12, 12
